"senator_name","State","description","amount","Total Expenses","Number of Expenses","St.Abrv","Party"
"ANGUS KING","Maine","FEES AND OTHER CHARGES",246.48,1492982.82,499,"ME","I"
"ANGUS KING","Maine","PHOTO STUDIO CERTIFICATION",392.6,1492982.82,499,"ME","I"
"ANGUS KING","Maine","LEGISLATIVE AIDE",82250.13,1492982.82,499,"ME","I"
"ANGUS KING","Maine","PRESS SECRETARIES",39349.92,1492982.82,499,"ME","I"
"ANGUS KING","Maine","INTERNS",55434.31,1492982.82,499,"ME","I"
"ANGUS KING","Maine","STAFF TRANSPORTATION",51787.14,1492982.82,499,"ME","I"
"ANGUS KING","Maine","RECORDING STUDIO CERTIFICATION",945.1,1492982.82,499,"ME","I"
"ANGUS KING","Maine","SENATOR TRANSPORTATION",9109.4,1492982.82,499,"ME","I"
"ANGUS KING","Maine","SCHEDULER",23333.28,1492982.82,499,"ME","I"
"BARBARA A. MIKULSKI","Maryland","ADVISORS",13081.01,1501005.8,307,"MD","D"
"BARBARA A. MIKULSKI","Maryland","LEGISLATIVE CORRESPONDENT",6565,1501005.8,307,"MD","D"
"BARBARA A. MIKULSKI","Maryland","LOGISTICS COORDINATOR",22952.4,1501005.8,307,"MD","D"
"BARBARA A. MIKULSKI","Maryland","DEPUTY SCHEDULER",11333.28,1501005.8,307,"MD","D"
"BARBARA A. MIKULSKI","Maryland","INCIDENTALS",85.64,1501005.8,307,"MD","D"
"BARBARA A. MIKULSKI","Maryland","PER DIEM",2177.6,1501005.8,307,"MD","D"
"BARBARA A. MIKULSKI","Maryland","PHOTO STUDIO CERTIFICATION",380.4,1501005.8,307,"MD","D"
"BARBARA A. MIKULSKI","Maryland","DIRECTORS",408075.16,1501005.8,307,"MD","D"
"BARBARA A. MIKULSKI","Maryland","PRESS SECRETARIES",47499.96,1501005.8,307,"MD","D"
"BARBARA A. MIKULSKI","Maryland","CHIEF OF STAFF",84441.22,1501005.8,307,"MD","D"
"BARBARA A. MIKULSKI","Maryland","LEGISLATIVE AIDE",43599.86,1501005.8,307,"MD","D"
"BARBARA A. MIKULSKI","Maryland","RECORDING STUDIO CERTIFICATION",298.2,1501005.8,307,"MD","D"
"BARBARA A. MIKULSKI","Maryland","CONSTITUENT PERSONNEL",38049.9,1501005.8,307,"MD","D"
"BARBARA A. MIKULSKI","Maryland","SENATOR TRANSPORTATION",1327.01,1501005.8,307,"MD","D"
"BARBARA A. MIKULSKI","Maryland","OFFICE ADMINISTRATOR",35972.48,1501005.8,307,"MD","D"
"BARBARA A. MIKULSKI","Maryland","SENIOR PERSONNEL",60102.48,1501005.8,307,"MD","D"
"BARBARA A. MIKULSKI","Maryland","OTHER MISCELLANEOUS SERVICES",650,1501005.8,307,"MD","D"
"BARBARA A. MIKULSKI","Maryland","SPEECH WRITER",33499.92,1501005.8,307,"MD","D"
"BARBARA A. MIKULSKI","Maryland","ARCHIVIST",15777.76,1501005.8,307,"MD","D"
"BARBARA A. MIKULSKI","Maryland","STAFF TRANSPORTATION",20426.04,1501005.8,307,"MD","D"
"BARBARA A. MIKULSKI","Maryland","ASSISTANTS",654610.48,1501005.8,307,"MD","D"
"BARBARA A. MIKULSKI","Maryland","TRAINING/CONFERENCE/REGISTRATION FEES",100,1501005.8,307,"MD","D"
"BARBARA BOXER","California","DIRECTORS",693100.4,2317059.71,495,"CA","D"
"BARBARA BOXER","California","ARCHIVIST",40500,2317059.71,495,"CA","D"
"BARBARA BOXER","California","FEES AND OTHER CHARGES",320,2317059.71,495,"CA","D"
"BARBARA BOXER","California","CALIFORNIA SYSTEMS ADMINISTRATOR",32287.46,2317059.71,495,"CA","D"
"BARBARA BOXER","California","EXECUTIVE SCHEDULER",28771.63,2317059.71,495,"CA","D"
"BARBARA BOXER","California","CORRESPONDENCE MANAGER",11962.84,2317059.71,495,"CA","D"
"BARBARA BOXER","California","INCIDENTALS",2677.86,2317059.71,495,"CA","D"
"BARBARA BOXER","California","LEGISLATIVE CORRESPONDENT",62170.63,2317059.71,495,"CA","D"
"BARBARA BOXER","California","CONSTITUENT PERSONNEL",123352.07,2317059.71,495,"CA","D"
"BARBARA BOXER","California","DATABASE MANAGER",26474.96,2317059.71,495,"CA","D"
"BARBARA BOXER","California","LEGISLATIVE AIDE AND SYSTEMS ADMINISTRATOR",24999.96,2317059.71,495,"CA","D"
"BARBARA BOXER","California","PHOTO STUDIO CERTIFICATION",1759.55,2317059.71,495,"CA","D"
"BARBARA BOXER","California","LEGISLATIVE AIDE",29877.74,2317059.71,495,"CA","D"
"BARBARA BOXER","California","PER DIEM",26885.03,2317059.71,495,"CA","D"
"BARBARA BOXER","California","CHIEF OF STAFF",169458.96,2317059.71,495,"CA","D"
"BARBARA BOXER","California","PURCHASED EQUIPMENT (EXPENDABLE)",978.01,2317059.71,495,"CA","D"
"BARBARA BOXER","California","COUNSEL",100165.92,2317059.71,495,"CA","D"
"BARBARA BOXER","California","FIELD REPRESENTATIVE",139044.23,2317059.71,495,"CA","D"
"BARBARA BOXER","California","ADVISORS",29795,2317059.71,495,"CA","D"
"BARBARA BOXER","California","SCHEDULER",19169.96,2317059.71,495,"CA","D"
"BARBARA BOXER","California","ASSISTANTS",451887.65,2317059.71,495,"CA","D"
"BARBARA BOXER","California","RECORDING STUDIO CERTIFICATION",154.8,2317059.71,495,"CA","D"
"BARBARA BOXER","California","CALIFORNIA SCHEDULER",28012.46,2317059.71,495,"CA","D"
"BARBARA BOXER","California","SENIOR PERSONNEL",139468.76,2317059.71,495,"CA","D"
"BARBARA BOXER","California","STAFF TRANSPORTATION",32530.99,2317059.71,495,"CA","D"
"BARBARA BOXER","California","SENATOR TRANSPORTATION",43708.21,2317059.71,495,"CA","D"
"BARBARA BOXER","California","PRESS SECRETARIES",57225.63,2317059.71,495,"CA","D"
"BARBARA BOXER","California","TRAINING/CONFERENCE/REGISTRATION FEES",319,2317059.71,495,"CA","D"
"BEN SASSE","Nebraska","ADMINISTRATIVE PERSONNEL",30000,1211702.39,316,"NE","R"
"BEN SASSE","Nebraska","WRITER",9900,1211702.39,316,"NE","R"
"BEN SASSE","Nebraska","ADVISORS",29561.09,1211702.39,316,"NE","R"
"BEN SASSE","Nebraska","PURCHASED EQUIPMENT (EXPENDABLE)",127207.67,1211702.39,316,"NE","R"
"BEN SASSE","Nebraska","ASSISTANTS",129305.3,1211702.39,316,"NE","R"
"BEN SASSE","Nebraska","STAFF TRANSPORTATION",29212.96,1211702.39,316,"NE","R"
"BEN SASSE","Nebraska","CERTIFIED PURCHASED EQUIPMENT",3431.68,1211702.39,316,"NE","R"
"BEN SASSE","Nebraska","SENATOR TRANSPORTATION",7963.52,1211702.39,316,"NE","R"
"BEN SASSE","Nebraska","CHIEF OF STAFF",250729.32,1211702.39,316,"NE","R"
"BEN SASSE","Nebraska","COUNSEL",28833.27,1211702.39,316,"NE","R"
"BEN SASSE","Nebraska","CONSTITUENT PERSONNEL",74460.71,1211702.39,316,"NE","R"
"BEN SASSE","Nebraska","SYSTEMS ADMINISTRATOR",15000,1211702.39,316,"NE","R"
"BEN SASSE","Nebraska","TRAINING/CONFERENCE/REGISTRATION FEES",500,1211702.39,316,"NE","R"
"BEN SASSE","Nebraska","LEGISLATIVE CORRESPONDENT / OFFICE MANAGER",26499.96,1211702.39,316,"NE","R"
"BEN SASSE","Nebraska","PRESS SECRETARIES",43399.92,1211702.39,316,"NE","R"
"BEN SASSE","Nebraska","LEGISLATIVE CORRESPONDENT",19999.92,1211702.39,316,"NE","R"
"BEN SASSE","Nebraska","DIRECTORS",227862.28,1211702.39,316,"NE","R"
"BEN SASSE","Nebraska","OUTREACH COORDINATOR",69000,1211702.39,316,"NE","R"
"BEN SASSE","Nebraska","FEES AND OTHER CHARGES",230,1211702.39,316,"NE","R"
"BEN SASSE","Nebraska","EXT DEV SOFTWARE (EXPENDABLE)",1403,1211702.39,316,"NE","R"
"BEN SASSE","Nebraska","PER DIEM",17563.32,1211702.39,316,"NE","R"
"BEN SASSE","Nebraska","INTERNS",23916.33,1211702.39,316,"NE","R"
"BEN SASSE","Nebraska","PHOTO STUDIO CERTIFICATION",113.4,1211702.39,316,"NE","R"
"BEN SASSE","Nebraska","INCIDENTALS",1275.41,1211702.39,316,"NE","R"
"BEN SASSE","Nebraska","PROFESSIONAL STAFF",44333.33,1211702.39,316,"NE","R"
"BENJAMIN L CARDIN","Maryland","ADMINISTRATIVE PERSONNEL",68925.58,1574372.25,140,"MD","D"
"BENJAMIN L CARDIN","Maryland","SENIOR PERSONNEL",44499.93,1574372.25,140,"MD","D"
"BENJAMIN L CARDIN","Maryland","ADVISORS",101277.7,1574372.25,140,"MD","D"
"BENJAMIN L CARDIN","Maryland","EXT DEV SOFTWARE (EXPENDABLE)",179.94,1574372.25,140,"MD","D"
"BENJAMIN L CARDIN","Maryland","STAFF TRANSPORTATION",10696.46,1574372.25,140,"MD","D"
"BENJAMIN L CARDIN","Maryland","ASSISTANTS",231690.48,1574372.25,140,"MD","D"
"BENJAMIN L CARDIN","Maryland","CASE WORKERS",124249.84,1574372.25,140,"MD","D"
"BENJAMIN L CARDIN","Maryland","CERTIFIED PURCHASED EQUIPMENT",990.1,1574372.25,140,"MD","D"
"BENJAMIN L CARDIN","Maryland","PURCHASED EQUIPMENT (EXPENDABLE)",4739.66,1574372.25,140,"MD","D"
"BENJAMIN L CARDIN","Maryland","CHIEF OF STAFF",71078.62,1574372.25,140,"MD","D"
"BENJAMIN L CARDIN","Maryland","LEGISLATIVE CORRESPONDENT",48961.04,1574372.25,140,"MD","D"
"BENJAMIN L CARDIN","Maryland","CONSTITUENT PERSONNEL",66000,1574372.25,140,"MD","D"
"BENJAMIN L CARDIN","Maryland","COUNSEL",122479.13,1574372.25,140,"MD","D"
"BENJAMIN L CARDIN","Maryland","OFFICE MANAGER",44124.92,1574372.25,140,"MD","D"
"BENJAMIN L CARDIN","Maryland","GRANTS COORDINATOR/SYSTEMS ADMINISTRATOR",49000,1574372.25,140,"MD","D"
"BENJAMIN L CARDIN","Maryland","DIRECTORS",215249.84,1574372.25,140,"MD","D"
"BENJAMIN L CARDIN","Maryland","PER DIEM",1534.45,1574372.25,140,"MD","D"
"BENJAMIN L CARDIN","Maryland","FIELD REPRESENTATIVE",267249.8,1574372.25,140,"MD","D"
"BENJAMIN L CARDIN","Maryland","RECORDING STUDIO CERTIFICATION",7.8,1574372.25,140,"MD","D"
"BENJAMIN L CARDIN","Maryland","INCIDENTALS",4,1574372.25,140,"MD","D"
"BENJAMIN L CARDIN","Maryland","SENATOR TRANSPORTATION",1470,1574372.25,140,"MD","D"
"BENJAMIN L CARDIN","Maryland","PHOTO STUDIO CERTIFICATION",236.8,1574372.25,140,"MD","D"
"BENJAMIN L CARDIN","Maryland","SPEECH WRITER",23000,1574372.25,140,"MD","D"
"BENJAMIN L CARDIN","Maryland","PRESS SECRETARIES",76726.16,1574372.25,140,"MD","D"
"BERNARD SANDERS","Vermont","ADMINISTRATIVE PERSONNEL",50115.96,1132715.61,432,"VT","I"
"BERNARD SANDERS","Vermont","ADVISORS",11203.47,1132715.61,432,"VT","I"
"BERNARD SANDERS","Vermont","ASSISTANTS",243164.01,1132715.61,432,"VT","I"
"BERNARD SANDERS","Vermont","INCIDENTALS",619.3,1132715.61,432,"VT","I"
"BERNARD SANDERS","Vermont","CASE WORKERS",39794.7,1132715.61,432,"VT","I"
"BERNARD SANDERS","Vermont","INTERNS",81664.67,1132715.61,432,"VT","I"
"BERNARD SANDERS","Vermont","CHIEF OF STAFF",82986.32,1132715.61,432,"VT","I"
"BERNARD SANDERS","Vermont","SYSTEM ADMINISTRATOR",12177.27,1132715.61,432,"VT","I"
"BERNARD SANDERS","Vermont","CONSTITUENT PERSONNEL",114441.6,1132715.61,432,"VT","I"
"BERNARD SANDERS","Vermont","COUNSEL",35129.58,1132715.61,432,"VT","I"
"BERNARD SANDERS","Vermont","DIRECTORS",114665.2,1132715.61,432,"VT","I"
"BERNARD SANDERS","Vermont","RECORDING STUDIO CERTIFICATION",436,1132715.61,432,"VT","I"
"BERNARD SANDERS","Vermont","SENIOR PERSONNEL",78062.86,1132715.61,432,"VT","I"
"BERNARD SANDERS","Vermont","FEES AND OTHER CHARGES",247.54,1132715.61,432,"VT","I"
"BERNARD SANDERS","Vermont","OUTREACH SPECIALIST",22716.6,1132715.61,432,"VT","I"
"BERNARD SANDERS","Vermont","PER DIEM",12580.15,1132715.61,432,"VT","I"
"BERNARD SANDERS","Vermont","LEGISLATIVE AIDE",21218,1132715.61,432,"VT","I"
"BERNARD SANDERS","Vermont","PHOTO STUDIO CERTIFICATION",74.9,1132715.61,432,"VT","I"
"BERNARD SANDERS","Vermont","STAFF TRANSPORTATION",27437.97,1132715.61,432,"VT","I"
"BERNARD SANDERS","Vermont","PRESS SECRETARIES",30291.66,1132715.61,432,"VT","I"
"BERNARD SANDERS","Vermont","SYSTEMS ADMINISTRATOR",8326.37,1132715.61,432,"VT","I"
"BERNARD SANDERS","Vermont","LEGISLATIVE COORDINATOR",19195.96,1132715.61,432,"VT","I"
"BERNARD SANDERS","Vermont","LEGISLATIVE CORRESPONDENT",40300.02,1132715.61,432,"VT","I"
"BERNARD SANDERS","Vermont","SENATOR TRANSPORTATION",9691.42,1132715.61,432,"VT","I"
"BERNARD SANDERS","Vermont","OUTREACH REPRESENTATIVE",35907.46,1132715.61,432,"VT","I"
"BERNARD SANDERS","Vermont","PURCHASED EQUIPMENT (EXPENDABLE)",40266.62,1132715.61,432,"VT","I"
"BILL CASSIDY","Louisiana","FEES AND OTHER CHARGES",815,1144496.63,521,"LA","R"
"BILL CASSIDY","Louisiana","HEALTH LEGISLATIVE AIDE",21000,1144496.63,521,"LA","R"
"BILL CASSIDY","Louisiana","FIELD REPRESENTATIVE",74499.84,1144496.63,521,"LA","R"
"BILL CASSIDY","Louisiana","MILITARY LEGISLATIVE AIDE",20208.26,1144496.63,521,"LA","R"
"BILL CASSIDY","Louisiana","LEGISLATIVE AIDE",21000,1144496.63,521,"LA","R"
"BILL CASSIDY","Louisiana","PER DIEM",18048.06,1144496.63,521,"LA","R"
"BILL CASSIDY","Louisiana","DIRECTORS",405575.82,1144496.63,521,"LA","R"
"BILL CASSIDY","Louisiana","PHOTO STUDIO CERTIFICATION",96.3,1144496.63,521,"LA","R"
"BILL CASSIDY","Louisiana","ASSISTANTS",68203.86,1144496.63,521,"LA","R"
"BILL CASSIDY","Louisiana","PRESS SECRETARIES",32916.62,1144496.63,521,"LA","R"
"BILL CASSIDY","Louisiana","INCIDENTALS",329.77,1144496.63,521,"LA","R"
"BILL CASSIDY","Louisiana","PURCHASED EQUIPMENT (EXPENDABLE)",4614.77,1144496.63,521,"LA","R"
"BILL CASSIDY","Louisiana","INTERNS",1449.95,1144496.63,521,"LA","R"
"BILL CASSIDY","Louisiana","RECORDING STUDIO CERTIFICATION",52,1144496.63,521,"LA","R"
"BILL CASSIDY","Louisiana","DEPUTY SCHEDULER",16500,1144496.63,521,"LA","R"
"BILL CASSIDY","Louisiana","REGIONAL REPRESENTATIVE",7250,1144496.63,521,"LA","R"
"BILL CASSIDY","Louisiana","ADVISORS",137708.12,1144496.63,521,"LA","R"
"BILL CASSIDY","Louisiana","EQUIPMENT/VEHICLE MAINTENANCE & REPAIR",45,1144496.63,521,"LA","R"
"BILL CASSIDY","Louisiana","SENATOR TRANSPORTATION",16513.53,1144496.63,521,"LA","R"
"BILL CASSIDY","Louisiana","CASE WORKERS",51145.79,1144496.63,521,"LA","R"
"BILL CASSIDY","Louisiana","SENIOR PERSONNEL",90763.34,1144496.63,521,"LA","R"
"BILL CASSIDY","Louisiana","CERTIFIED PURCHASED EQUIPMENT",613.2,1144496.63,521,"LA","R"
"BILL CASSIDY","Louisiana","STAFF TRANSPORTATION",39647.4,1144496.63,521,"LA","R"
"BILL CASSIDY","Louisiana","CHIEF OF STAFF",115500,1144496.63,521,"LA","R"
"BILL NELSON","Florida","EXT DEV SOFTWARE (EXPENDABLE)",26252,1995125.73,475,"FL","D"
"BILL NELSON","Florida","CHIEF OF STAFF",209404.32,1995125.73,475,"FL","D"
"BILL NELSON","Florida","COUNSEL",44724.96,1995125.73,475,"FL","D"
"BILL NELSON","Florida","LEGISLATIVE AIDE",34350.5,1995125.73,475,"FL","D"
"BILL NELSON","Florida","PER DIEM",14148.85,1995125.73,475,"FL","D"
"BILL NELSON","Florida","FEES AND OTHER CHARGES",210,1995125.73,475,"FL","D"
"BILL NELSON","Florida","INTERNS",15324.69,1995125.73,475,"FL","D"
"BILL NELSON","Florida","ASSISTANTS",506496.1,1995125.73,475,"FL","D"
"BILL NELSON","Florida","CONSTITUENT PERSONNEL",71423.13,1995125.73,475,"FL","D"
"BILL NELSON","Florida","LEGISLATIVE CORRESPONDENT",89968.79,1995125.73,475,"FL","D"
"BILL NELSON","Florida","DIRECTORS",704197.68,1995125.73,475,"FL","D"
"BILL NELSON","Florida","PURCHASED EQUIPMENT (EXPENDABLE)",590,1995125.73,475,"FL","D"
"BILL NELSON","Florida","RECORDING STUDIO CERTIFICATION",280.2,1995125.73,475,"FL","D"
"BILL NELSON","Florida","INCIDENTALS",1116.92,1995125.73,475,"FL","D"
"BILL NELSON","Florida","PHOTO STUDIO CERTIFICATION",89.3,1995125.73,475,"FL","D"
"BILL NELSON","Florida","SENATOR TRANSPORTATION",11743.75,1995125.73,475,"FL","D"
"BILL NELSON","Florida","MAIL MANAGER",20477.94,1995125.73,475,"FL","D"
"BILL NELSON","Florida","SENIOR PERSONNEL",92348.91,1995125.73,475,"FL","D"
"BILL NELSON","Florida","SCHEDULER",17899.51,1995125.73,475,"FL","D"
"BILL NELSON","Florida","CASE WORKERS",1700,1995125.73,475,"FL","D"
"BILL NELSON","Florida","STAFF TRANSPORTATION",26911.38,1995125.73,475,"FL","D"
"BILL NELSON","Florida","PRESS SECRETARIES",64046.88,1995125.73,475,"FL","D"
"BILL NELSON","Florida","TRAINING/CONFERENCE/REGISTRATION FEES",60,1995125.73,475,"FL","D"
"BILL NELSON","Florida","CORRESPONDENCE MANAGER",41359.92,1995125.73,475,"FL","D"
"BOB CORKER","Tennessee","ASSISTANTS",187605.15,1274591.72,807,"TN","R"
